file,lon,lat,category,label,dataset
anthropo_10.20696-59.31534_0.tif,10.0590775888059,59.4945470664531,anthropo,0,train
anthropo_10.20696-59.31534_1.tif,10.0484771992702,59.4716418970873,anthropo,0,train
anthropo_10.20696-59.31534_10.tif,10.4228191595243,59.408466377429,anthropo,0,train
anthropo_10.20696-59.31534_11.tif,10.3184001442249,59.4052517727382,anthropo,0,train
anthropo_10.20696-59.31534_12.tif,10.2012971740251,59.4013526295324,anthropo,0,train
anthropo_10.20696-59.31534_13.tif,10.3627272610528,59.3861153769503,anthropo,0,train
anthropo_10.20696-59.31534_14.tif,10.4331184063049,59.3853612087512,anthropo,0,train
anthropo_10.20696-59.31534_15.tif,10.2598698614712,59.3849935809594,anthropo,0,train
anthropo_10.20696-59.31534_16.tif,10.3048382480196,59.3823961318949,anthropo,0,train
anthropo_10.20696-59.31534_17.tif,10.2004842373762,59.3783686188082,anthropo,0,train
anthropo_10.20696-59.31534_18.tif,10.3491434307402,59.3632643597516,anthropo,0,train
anthropo_10.20696-59.31534_19.tif,10.275819907181,59.3596912457799,anthropo,0,train
anthropo_10.20696-59.31534_2.tif,10.2813713950982,59.4695661004641,anthropo,0,train
anthropo_10.20696-59.31534_20.tif,10.1799790007658,59.3555642016281,anthropo,0,train
anthropo_10.20696-59.31534_21.tif,10.2249925620384,59.3551491312151,anthropo,0,train
anthropo_10.20696-59.31534_22.tif,10.3496378128131,59.3402669855995,anthropo,0,train
anthropo_10.20696-59.31534_23.tif,10.2876107010796,59.336583369926,anthropo,0,train
anthropo_10.20696-59.31534_24.tif,10.440840263709,59.3349797219881,anthropo,0,train
anthropo_10.20696-59.31534_25.tif,10.1960507810808,59.3324261595246,anthropo,0,train
anthropo_10.20696-59.31534_26.tif,10.2407977829759,59.3255414291098,anthropo,0,train
anthropo_10.20696-59.31534_27.tif,10.4117725541396,59.3123051466291,anthropo,0,train
anthropo_10.20696-59.31534_28.tif,10.4567246971197,59.3118103108316,anthropo,0,train
anthropo_10.20696-59.31534_29.tif,10.1868148987187,59.3095189083551,anthropo,0,train
anthropo_10.20696-59.31534_3.tif,10.331417223191,59.4496664954193,anthropo,0,train
